Course Name,Drive Time Minutes
Amberwood Exec,:64
Bacall Exec,:33
Beautyberry Exec,:27
Bellaire Exec,:23
Belle Glade CC,:28
Belmont Exec,:48
Bogart Exec,:33
Bonifay CC,:25
Bonita Pass Exec,:32
Briarwood Exec,:61
Cane Garden CC,:33
Chula Vista Exec,:51
Churchill Greens Exec,:48
De La Vista Exec,:49
El Diablo Exec,:57
El Santiago Exec,:57
Escambia Exec,:32
Evans Prairie CC,:17
Glenview Champions CC,:56
Gray Fox Exec,:28
Hacienda Hills CC,:51
Havana CC,:33
Hawkes Bay Exec,:49
Heron Exec,:36
Hill Top Exec,:56
Honeysuckle Exec,:27
Jubilee Putt Putt,:25
Laurel Oak Exec,:19
Live Oak Pitch & Putt,:19
Loblolly Exec,:15
Longleaf Exec,:15
Lopez Legacy CC,:61
Lowlands Exec,:11
Mallory Hill CC,:38
Mangrove Exec,:15
Marsh View Pitch & putt,:12
Mickylee Pitch & Putt,:25
Mira Mesa Exec,:51
Oakleigh Exec,:64
Okeechobee Exec,:32
Orange Blossom Hills CC,:55
Palmer Legends CC,:40
Palmetto Exec,:16
Pelican Exec,:36
Pimlico Exec,:48
Red Fox Exec,:28
Redfish Run Exec,:33
Richmond Pitch & Putt,:05
Roosevelt Exec,:32
Saddlebrook Exec,:48
Sandhill Exec,:25
Sarasota Exec,:30
Shallow Creek GC,:25
Silver Lake Exec,:55
Southern Oaks GC,:18
Southern Star Exec,:27
Sweetgum Exec,:15
Tarpon Boil Exec,:33
Tierra Del Sol CC,:49
Truman Exec,:32
Turtle Mound Exec,:24
Volusia Exec,:31
Walnut Grove Exec,:61
Woodlands GC,:20
Yankee Clipper Exec,:27
